,Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_AgeGroup,Defendant_IndigencyStatus,PriorConvs_Fel,PriorConvs_Misd,PriorFTAConvs,PriorVPRAIViolConvs,PriorVPRAIViolConvs_Fel,PriorVPRAIViolConvs_Misd,WhetherDefendantWasReleasedPretrial,BondTypeAtInitialContact,BondAmountAtInitialContact,ContactEvent_WhetherOffensePunishablebyIncaration,CaseType_MostSerChargeinContactEvent_regardlessofFinalDisp,CurrentCharge_VPRAIViolent,CurrentCharge_PSAViolent,FinalDispositionAllCharges_v1,ImposedSentenceMostSeriousConvictionInContactEvent,VPRAI_TotalPoints_Opt1,VPRAI_RiskLevel_Opt2,VPRAI_TotalPoints_Opt2,VPRAI_RiskLevel_Opt2,VPRAI_PTPlacementRiskLevel,PSA_FTA_TotalPoints,PSA_FTA_RiskLevelScale,PSA_NCA_TotalPoints,PSA_NCA_RiskLevelScale,UnemploymentRate_October2017_BureauofLaborStatistics,GiniIndex,WhiteAlonePercentage_PopulationEstimate_2017_Census,AfricanAmericanAlonepercentage_PopulationEstimate_2017,AsianAlonepercentage_PopulationEstimate_2017_Census,Male_MedianAge_2017Census,Female_MedianAge_2017Census,FollowUp_ArrestedforNewOff,FollowUp_ChargedWithNewFTA,NewArrest_VCC,NewArrest_Type,NewArrest_VCCClassification,NewArrest_Disposition,FollowUp_ArrestedForNewOffPunishableByIncarceration,NewArrestPunishableByIncarceration_Type,FollowUp_NewFelonyArrest,NewFelonyArrest_VCC,NewFelonyArrest_VCCPrefix,NewFelonyArrest_VCCClassification,NewFelonyArrest_Type,NewFelonyArrest_Disposition,FollowUp_NewVPRAIViolentArrest,NewVPRAIViolentArrest_VCC,NewVPRAIViolentArrest_VCCPrefix,NewVaCode297ViolentOff_VCC,NewVaCode297ViolentOff_Disposition,recid
32,M,W,55,5,0,0,0,0,0,0,0,9,7, ,1,F,0,0,1, ,3,2,4,2, ,0,1,0,1,3,.45,90.7,4.8,1.5,46.4,47.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
33,M,W,51,5,0,0,0,0,0,0,0,1,7, ,1,M,0,0,5,12,0,1,1,1, ,0,1,0,1,3,.45,90.7,4.8,1.5,46.4,47.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
34,M,W,24,2,1,9,3,0,1,1,0,0,7, ,1,M,0,0,5,12,6,4,7,4, ,2,3,8,5,2.7,.4,81.4,15,.8,43.4,43.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
35,M,W,38,4,1,3,3,2,0,0,0,1,7, ,1,F,0,0,3, ,10,6,11,6, ,5,5,6,4,3.5,.44,89.4,8.1,.5,46.7,48,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
36,F,W,32,3,99,1,15,3,1,0,1,1,7, ,1,F,0,0,9, ,10,6,11,6, ,7,6,10,6,3.5,.44,89.4,8.1,.5,46.7,48, , , , , , , , , , , , , , , , , , , ,0
37,M,W,21,2,1,0,0,0,0,0,0,1,7, ,1,F,0,0,5,60,3,2,4,2, ,0,1,2,2,3.5,.44,89.4,8.1,.5,46.7,48,1,0,LIC6809M1,M,M1,1,1,M,1,WPN5303F6,WPN,F6,F,1,0, , , , ,1
38,M,B,30,3,0,0,1,0,1,0,1,0,7, ,1,F,0,0,1, ,7,4,8,4, ,7,6,7,5,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
39,F,B,38,4,1,4,5,0,3,0,3,1,7, ,1,F,1,1,5,24,3,2,4,2, ,2,3,6,4,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
40,M,W,36,4,1,0,0,0,0,0,0,0,7, ,1,F,1,1,5,48,0,1,1,1, ,0,1,0,1,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
41,M,W,36,4,0,0,0,0,0,0,0,0,7, ,1,F,1,1,5,12,0,1,1,1, ,0,1,0,1,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
42,M,B,26,3,1,2,3,0,0,0,0,1,7, ,1,F,0,0,5,24,7,4,8,4, ,5,5,8,5,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
43,F,W,43,4,1,2,3,0,1,0,1,1,7, ,1,F,0,0,5,36,10,6,11,6, ,4,4,6,4,2.8,.39,90.9,4.5,1.7,39.6,41.5,1,0,ASL1315M1,M,M1,8,1,M,0, , , , , ,1,ASL1315M1,ASL, , ,1
44,M,B,56,6,0,0,0,0,0,0,0,1,7, ,1,M,0,0,5,11.9917864476386,0,1,1,1, ,0,1,0,1,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
45,F,W,43,4,1,2,4,0,0,0,0,1,7, ,1,F,0,0,3, ,5,3,6,3, ,1,2,4,3,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
46,M,B,49,5,0,7,0,0,0,0,0,0,7, ,1,F,0,0,5,0,6,4,7,4, ,2,3,1,2,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
47,M,W,19,2,0,0,0,0,0,0,0,1,7, ,1,F,0,1,5,24,7,4,8,4, ,0,1,2,2,2.8,.39,90.9,4.5,1.7,39.6,41.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
48,M,W,50,5,1,4,0,0,0,0,0,1,7, ,1,F,0,1,5,120,5,3,6,3, ,1,2,4,3,3.1,.49,80.4,16.1,1.5,47.6,49.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
49,M,B,28,3,0,0,1,0,0,0,0,9,7, ,1,M,0,0,5,2.95687885010267,2,2,3,2, ,1,2,3,3,3.1,.49,80.4,16.1,1.5,47.6,49.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
50,M,B,52,5,0,0,1,0,0,0,0,9,7, ,1,M,0,0,5,2.95687885010267,2,2,3,2, ,1,2,1,2,3.1,.49,80.4,16.1,1.5,47.6,49.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
51,M,B,27,3,1,7,10,2,2,1,1,0,7, ,1,M,0,0,5,12,10,6,11,6, ,5,5,9,6,2.6,.41,88.2,7,1.7,39.3,41.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
52,M,W,40,4,0,4,22,8,2,0,2,0,7, ,1,F,0,0,1, ,9,5,10,5, ,5,5,10,6,2.6,.41,88.2,7,1.7,39.3,41.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
53,F,B,28,3,0,1,0,0,1,1,0,1,7, ,1,F,1,1,5,60,6,4,7,4,2,1,2,4,3,4,.4,38.4,59.5,.8,39.3,45.2,1,1,LIC6809M1,M,M1,1,1,M,0, , , , , ,0, , , , ,1
54,M,W,30,3,0,6,3,0,0,0,0,0,7, ,1,M,1,1,5,24,6,4,7,4, ,1,2,4,3,3.1,.38,78.7,16.2,1.3,39,41.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
55,M,B,27,3,0,0,3,0,0,0,0,0,7, ,1,F,1,1,5,60,6,4,7,4, ,2,3,6,4,3.1,.38,78.7,16.2,1.3,39,41.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
56,F,W,35,3,0,0,0,0,0,0,0,1,7, ,1,M,0,1,5,24,0,1,1,1, ,0,1,0,1,2.8,.38,68.4,7.9,19.4,36.1,36.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
57,M,B,41,4,0,0,2,0,2,0,2,0,7, ,1,F,0,0,1, ,6,4,7,4, ,3,4,3,3,3,.45,80.3,16.1,.7,44.7,45.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
58,F,W,55,5,0,0,1,0,0,0,0,9,7, ,1,M,0,0,5,2.95687885010267,2,2,3,2, ,1,2,1,2,3,.45,80.3,16.1,.7,44.7,45.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
59,M,B,30,3,1,0,5,2,2,0,2,1,7, ,1,M,0,0,5,12,8,5,9,5, ,5,5,6,4,2.6,.46,87.3,9.3,.6,45.5,46.9,1,0,CON5008S9,M,S9,0,1,M,0, , , , , ,0, , , , ,1
60,M,B,29,3,0,0,7,0,3,0,3,0,7, ,1,M,0,0,5,12,7,4,8,4, ,2,3,8,5,3.7,.44,72.2,25.3,.5,56.7,57.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
61,M,W,39,4,0,6,20,0,6,0,6,0,7, ,1,F,0,0,1, ,6,4,7,4, ,5,5,10,6,3.9,.43,95.9,2.1,.5,44.6,46.1,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
62,M,W,39,4,1,0,0,0,0,0,0,1,7, ,1,F,0,0,5,60,0,1,1,1, ,0,1,0,1,3.1,.37,87.6,9.9,.6,44.2,46.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
63,M,W,34,3,0,0,0,0,0,0,0,9,7, ,1,F,0,0,1, ,3,2,4,2, ,0,1,0,1,4,.43,92.4,5.1,.6,45.1,48.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
64,M,W,28,3,0,10,0,0,0,0,0,0,7, ,1,F,0,0,5,24,7,4,8,4, ,1,2,3,3,2.9,.42,94.7,2.3,.8,40.2,42.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
65,M,W,27,3,1,0,4,0,4,0,4,0,7, ,1,F,1,1,3, ,9,5,10,5, ,2,3,7,5,2.9,.42,94.7,2.3,.8,40.2,42.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
66,F,W,25,2,0,0,0,0,0,0,0,1,7, ,1,F,0,0,5,12,3,2,4,2, ,0,1,0,1,4.5,.44,97.6,1.2,.2,44.4,47.4,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
67,F,W,33,3,1,0,0,0,0,0,0,1,7, ,1,F,0,0,5,72,3,2,4,2, ,2,3,1,2,3.5,.44,97.7,.8,.2,46.2,48.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
68,F,W,25,2,0,0,0,0,0,0,0,1,7, ,1,F,0,0,5,36,3,2,4,2, ,0,1,0,1,3.5,.44,97.7,.8,.2,46.2,48.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
69,M,B,19,2,1,0,0,0,0,0,0,1,7, ,1,F,0,0,1, ,5,3,6,3, ,3,4,6,4,3,.41,94,2.6,1,43.1,45.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
70,M,W,18,2,1,0,0,0,0,0,0,1,7, ,1,F,1,1,3, ,2,2,3,2, ,1,2,5,4,3,.41,94,2.6,1,43.1,45.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
71,M,W,42,4,0,0,3,1,1,0,1,1,7, ,1,F,1,1,3, ,4,3,5,3, ,4,4,6,4,3,.41,94,2.6,1,43.1,45.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
72,M,W,29,3,1,16,0,0,0,0,0,1,7, ,1,F,0,0,3, ,5,3,6,3, ,1,2,1,2,4.2,.46,96,2.3,.5,43.9,46.7,1,1,LAR2354F9,F,F9,0,1,F,1,LAR2354F9,LAR,F9,F,0,0, , , , ,1
73,M,W,53,5,1,0,7,0,4,0,4,1,7, ,1,M,0,0,1, ,7,4,8,4, ,1,2,5,4,3.3,.39,76.4,16.7,2.9,37.1,39.2,1,0,ASL1316F6,F,F6,1,1,F,1,ASL1316F6,ASL,F6,F,1,1,ASL1316F6,ASL, , ,1
74,M,B,31,3,1,0,22,3,5,0,5,1,7, ,1,M,0,0,3, ,10,6,11,6, ,7,6,10,6,3.3,.39,76.4,16.7,2.9,37.1,39.2,1,0,LIC6808M2,M,M2,0,1,M,0, , , , , ,0, , , , ,1
75,F,W,43,4,1,1,3,0,1,0,1,1,7, ,1,F,0,0,1, ,5,3,6,3, ,1,2,5,4,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
76,M,W,44,4,0,0,0,0,0,0,0,1,7, ,1,F,0,0,5,24,3,2,4,2, ,0,1,0,1,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
77,M,B,29,3,1,1,3,0,2,0,2,0,7, ,1,F,0,0,3, ,10,6,11,6, ,1,2,5,4,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
78,F,W,35,3,1,1,3,0,0,0,0,1,7, ,1,F,0,0,5,12,9,5,10,5, ,3,4,5,4,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
79,M,B,29,3,1,0,1,0,0,0,0,1,7, ,1,F,0,0,5,12,5,3,6,3, ,1,2,1,2,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
80,F,W,30,3,1,9,4,1,0,0,0,0,7, ,1,F,0,0,5,60,10,6,11,6, ,3,4,7,5,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
81,M,B,25,2,0,1,0,0,0,0,0,0,7, ,1,F,1,1,2, ,8,5,9,5, ,2,3,7,5,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
82,M,W,37,4,1,9,7,3,1,0,1,1,7, ,1,F,0,0,1, ,8,5,9,5, ,3,4,8,5,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
83,F,W,24,2,1,0,1,0,1,0,1,1,7, ,1,M,0,0,5,12,2,2,3,2, ,1,2,2,2,3.3,.39,76.4,16.7,2.9,37.1,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
84,M,A,29,3,0,0,0,0,0,0,0,0,7, ,1,M,1,1,5,12,0,1,1,1, ,0,1,0,1,3.2,.37,72.3,19,3.6,34.3,36.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
85,M,W,59,6,0,1,0,0,1,1,0,1,7, ,1,F,0,0,1, ,5,3,6,3, ,1,2,2,2,3.2,.37,72.3,19,3.6,34.3,36.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
86,M,W,34,3,1,1,0,0,0,0,0,1,7, ,1,M,0,1,1, ,6,4,7,4, ,1,2,1,2,3.2,.37,72.3,19,3.6,34.3,36.6,1,1,LIC6809M1,M,M1,1,1,M,1,LAR2359F9,LAR,F9,F,0,0, , , , ,1
87,F,W,45,4,0,0,0,0,0,0,0,1,7, ,1,M,0,0,1, ,0,1,1,1, ,0,1,0,1,3.2,.37,72.3,19,3.6,34.3,36.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
88,M,W,28,3,1,0,2,0,0,0,0,1,7, ,1,M,0,0,5,.985626283367556,2,2,3,2, ,1,2,2,2,3.2,.37,72.3,19,3.6,34.3,36.6,1,0,REC6625M1,M,M1,0,1,M,0, , , , , ,0, , , , ,1
89,M,W,26,3,1,0,1,0,0,0,0,1,7, ,1,F,0,0,1, ,11,6,12,6, ,2,3,4,3,3.2,.37,72.3,19,3.6,34.3,36.6,1,0,LAR2304C9,F,C9,0,1,F,1,LAR2304C9,LAR,C9,F,0,0, , , , ,1
90,M,W,44,4,1,0,0,0,0,0,0,1,7, ,1,M,0,0,5,12,0,1,1,1, ,0,1,0,1,3.2,.37,72.3,19,3.6,34.3,36.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
91,M,B,35,3,1,16,15,1,0,0,0,0,7, ,1,F,0,1,5,120,10,6,11,6, ,4,4,6,4,3.2,.37,72.3,19,3.6,34.3,36.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
92,M,B,39,4,1,0,5,0,0,0,0,0,7, ,1,M,0,0,1, ,2,2,3,2, ,1,2,3,3,3.2,.37,72.3,19,3.6,34.3,36.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
93,M,B,31,3,1,2,11,0,5,1,4,0,7, ,1,F,0,0,5,36,10,6,11,6, ,7,6,11,6,3.2,.37,72.3,19,3.6,34.3,36.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
